# Periodic table data for the `periodic` app.
# One element per line: Z,symbol,name,mass,series,column,row
#
# series: 0 alkali  1 alkaline earth  2 transition  3 post-transition
#         4 metalloid  5 nonmetal  6 halogen  7 noble gas
#         8 lanthanide  9 actinide
# column/row place the cell in an 18-column grid; rows 9 and 10 are
# the lanthanide and actinide strips drawn below the main block.
#
# Edit freely - the app re-reads this file every time it starts.
1,H,Hydrogen,1.008,5,1,1
2,He,Helium,4.003,7,18,1
3,Li,Lithium,6.94,0,1,2
4,Be,Beryllium,9.012,1,2,2
5,B,Boron,10.81,4,13,2
6,C,Carbon,12.011,5,14,2
7,N,Nitrogen,14.007,5,15,2
8,O,Oxygen,15.999,5,16,2
9,F,Fluorine,18.998,6,17,2
10,Ne,Neon,20.180,7,18,2
11,Na,Sodium,22.990,0,1,3
12,Mg,Magnesium,24.305,1,2,3
13,Al,Aluminium,26.982,3,13,3
14,Si,Silicon,28.085,4,14,3
15,P,Phosphorus,30.974,5,15,3
16,S,Sulfur,32.06,5,16,3
17,Cl,Chlorine,35.45,6,17,3
18,Ar,Argon,39.95,7,18,3
19,K,Potassium,39.098,0,1,4
20,Ca,Calcium,40.078,1,2,4
21,Sc,Scandium,44.956,2,3,4
22,Ti,Titanium,47.867,2,4,4
23,V,Vanadium,50.942,2,5,4
24,Cr,Chromium,51.996,2,6,4
25,Mn,Manganese,54.938,2,7,4
26,Fe,Iron,55.845,2,8,4
27,Co,Cobalt,58.933,2,9,4
28,Ni,Nickel,58.693,2,10,4
29,Cu,Copper,63.546,2,11,4
30,Zn,Zinc,65.38,2,12,4
31,Ga,Gallium,69.723,3,13,4
32,Ge,Germanium,72.630,4,14,4
33,As,Arsenic,74.922,4,15,4
34,Se,Selenium,78.971,5,16,4
35,Br,Bromine,79.904,6,17,4
36,Kr,Krypton,83.798,7,18,4
37,Rb,Rubidium,85.468,0,1,5
38,Sr,Strontium,87.62,1,2,5
39,Y,Yttrium,88.906,2,3,5
40,Zr,Zirconium,91.224,2,4,5
41,Nb,Niobium,92.906,2,5,5
42,Mo,Molybdenum,95.95,2,6,5
43,Tc,Technetium,98,2,7,5
44,Ru,Ruthenium,101.07,2,8,5
45,Rh,Rhodium,102.91,2,9,5
46,Pd,Palladium,106.42,2,10,5
47,Ag,Silver,107.87,2,11,5
48,Cd,Cadmium,112.41,2,12,5
49,In,Indium,114.82,3,13,5
50,Sn,Tin,118.71,3,14,5
51,Sb,Antimony,121.76,4,15,5
52,Te,Tellurium,127.60,4,16,5
53,I,Iodine,126.90,6,17,5
54,Xe,Xenon,131.29,7,18,5
55,Cs,Caesium,132.91,0,1,6
56,Ba,Barium,137.33,1,2,6
57,La,Lanthanum,138.91,8,3,9
58,Ce,Cerium,140.12,8,4,9
59,Pr,Praseodymium,140.91,8,5,9
60,Nd,Neodymium,144.24,8,6,9
61,Pm,Promethium,145,8,7,9
62,Sm,Samarium,150.36,8,8,9
63,Eu,Europium,151.96,8,9,9
64,Gd,Gadolinium,157.25,8,10,9
65,Tb,Terbium,158.93,8,11,9
66,Dy,Dysprosium,162.50,8,12,9
67,Ho,Holmium,164.93,8,13,9
68,Er,Erbium,167.26,8,14,9
69,Tm,Thulium,168.93,8,15,9
70,Yb,Ytterbium,173.05,8,16,9
71,Lu,Lutetium,174.97,8,17,9
72,Hf,Hafnium,178.49,2,4,6
73,Ta,Tantalum,180.95,2,5,6
74,W,Tungsten,183.84,2,6,6
75,Re,Rhenium,186.21,2,7,6
76,Os,Osmium,190.23,2,8,6
77,Ir,Iridium,192.22,2,9,6
78,Pt,Platinum,195.08,2,10,6
79,Au,Gold,196.97,2,11,6
80,Hg,Mercury,200.59,2,12,6
81,Tl,Thallium,204.38,3,13,6
82,Pb,Lead,207.2,3,14,6
83,Bi,Bismuth,208.98,3,15,6
84,Po,Polonium,209,3,16,6
85,At,Astatine,210,6,17,6
86,Rn,Radon,222,7,18,6
87,Fr,Francium,223,0,1,7
88,Ra,Radium,226,1,2,7
89,Ac,Actinium,227,9,3,10
90,Th,Thorium,232.04,9,4,10
91,Pa,Protactinium,231.04,9,5,10
92,U,Uranium,238.03,9,6,10
93,Np,Neptunium,237,9,7,10
94,Pu,Plutonium,244,9,8,10
95,Am,Americium,243,9,9,10
96,Cm,Curium,247,9,10,10
97,Bk,Berkelium,247,9,11,10
98,Cf,Californium,251,9,12,10
99,Es,Einsteinium,252,9,13,10
100,Fm,Fermium,257,9,14,10
101,Md,Mendelevium,258,9,15,10
102,No,Nobelium,259,9,16,10
103,Lr,Lawrencium,266,9,17,10
104,Rf,Rutherfordium,267,2,4,7
105,Db,Dubnium,268,2,5,7
106,Sg,Seaborgium,269,2,6,7
107,Bh,Bohrium,270,2,7,7
108,Hs,Hassium,269,2,8,7
109,Mt,Meitnerium,278,2,9,7
110,Ds,Darmstadtium,281,2,10,7
111,Rg,Roentgenium,282,2,11,7
112,Cn,Copernicium,285,2,12,7
113,Nh,Nihonium,286,3,13,7
114,Fl,Flerovium,289,3,14,7
115,Mc,Moscovium,290,3,15,7
116,Lv,Livermorium,293,3,16,7
117,Ts,Tennessine,294,6,17,7
118,Og,Oganesson,294,7,18,7
